index,County,SIR,AIR,Lower CI,Upper CI,Recent Trend,Recent IR,Date
163,"Phillips County, Arkansas(6,10)",26.5,88.1,72.4,106.3,stable,4.4,30-05-2013
164,"Pike County, Arkansas(6,10)",24.2,87.8,67.5,112.7,stable,3.3,31-05-2013
165,"Poinsett County, Arkansas(6,10)",26.6,114,97.9,132.3,stable,1.6,01-06-2013
166,"Polk County, Arkansas(6,10)",25.7,67.1,54.9,81.6,stable,12.4,02-06-2013
167,"Pope County, Arkansas(6,10)",24.6,86.3,76.7,96.9,rising,-6.9,03-06-2013
168,"Prairie County, Arkansas(6,10)",19.7,89,67.3,116.7,rising,-9.6,04-06-2013
169,"Pulaski County, Arkansas(6,10)",24.1,68,64.4,71.7,rising,-1.5,05-06-2013
170,"Randolph County, Arkansas(6,10)",20.9,83.9,68.2,102.5,rising,4.3,06-06-2013
171,"St. Francis County, Arkansas(6,10)",27.8,65.2,52.8,79.8,rising,-0.5,07-06-2013
172,"Saline County, Arkansas(6,10)",23.5,73.9,67.4,80.8,rising,0,08-06-2013
173,"Scott County, Arkansas(6,10)",20.2,91.5,71.5,116.1,rising,1.1,09-06-2013
174,"Searcy County, Arkansas(6,10)",21.9,72.1,53.2,97.1,rising,9.4,10-06-2013
175,"Sebastian County, Arkansas(6,10)",23.1,78.2,71.6,85.2,stable,0.3,11-06-2013
176,"Sevier County, Arkansas(6,10)",25.9,70.4,53.9,90.5,stable,10,12-06-2013
177,"Sharp County, Arkansas(6,10)",22.8,89.3,74,107.3,stable,-4.3,13-06-2013
178,"Stone County, Arkansas(6,10)",21.2,66.5,51.1,85.8,rising,-1.9,14-06-2013
179,"Union County, Arkansas(6,10)",21.6,89,77.8,101.5,rising,3.2,15-06-2013
180,"Van Buren County, Arkansas(6,10)",36.8,65.1,52.4,80.6,rising,3.9,16-06-2013
181,"Washington County, Arkansas(6,10)",22.8,67.1,61.8,72.8,rising,2.2,17-06-2013
182,"White County, Arkansas(6,10)",18.1,91.2,82.5,100.7,rising,-0.5,18-06-2013
183,"Woodruff County, Arkansas(6,10)",18.6,108.5,80.9,143.6,stable,6,19-06-2013
184,"Yell County, Arkansas(6,10)",20.3,88.1,73,105.7,stable,8.7,20-06-2013
185,"Alameda County, California(7,8)",22.6,46,44.5,47.6,falling,-2.2,21-06-2013
187,"Amador County, California(7,9)",25.1,58.7,50.5,68.1,stable,0,22-06-2013
188,"Butte County, California(7,9)",26.8,61.4,57.3,65.8,stable,-4.4,23-06-2013
189,"Calaveras County, California(7,9)",27.7,52.3,45.1,60.5,stable,-7.2,24-06-2013
190,"Colusa County, California(7,9)",19.47,56,42.2,72.8,stable,-17.3,25-06-2013
191,"Contra Costa County, California(7,8)",22.3,49.2,47.4,51.1,falling,-1.3,26-06-2013
192,"Del Norte County, California(7,9)",26.5,78.4,65.2,93.6,stable,-14.6,27-06-2013
193,"El Dorado County, California(7,9)",20.3,50,45.9,54.3,stable,-3.7,28-06-2013
194,"Fresno County, California(7,9)",20.2,50.8,48.6,53.1,rising,-1.8,29-06-2013
195,"Glenn County, California(7,9)",23.5,61.2,49.5,74.9,rising,0.2,30-06-2013
196,"Humboldt County, California(7,9)",31.5,56.4,51.1,62.2,rising,-2.5,01-07-2013
197,"Imperial County, California(7,9)",22.7,44.3,39.8,49.3,rising,-3.1,02-07-2013
198,"Inyo County, California(7,9)",21.3,45.7,35.2,58.8,rising,-15.5,03-07-2013
199,"Kern County, California(7,9)",25.9,55.7,53.2,58.4,rising,-3.2,04-07-2013
200,"Kings County, California(7,9)",19.7,48.8,43,55,stable,-3.7,05-07-2013
201,"Lake County, California(7,9)",22.9,73.7,66,82.2,stable,3.3,06-07-2013
202,"Lassen County, California(7,9)",22.9,60.9,48.9,75,stable,-9.2,07-07-2013
203,"Los Angeles County, California(7,9)",20.4,39.9,39.3,40.5,falling,-5.7,08-07-2013
204,"Madera County, California(7,9)",21.2,51.8,46.6,57.3,stable,-6.8,09-07-2013
205,"Marin County, California(7,8)",22.5,41.6,38.5,44.8,falling,-1.6,10-07-2013
206,"Mariposa County, California(7,9)",17,54.6,43.2,68.8,stable,-10.2,11-07-2013
207,"Mendocino County, California(7,9)",24.1,52.2,46.3,58.6,stable,-4,12-07-2013
208,"Merced County, California(7,9)",28.7,56.9,52.3,61.7,falling,-7,13-07-2013
209,"Modoc County, California(7,9)",22.3,43.7,29.4,63.8,stable,-19.5,14-07-2013
211,"Monterey County, California(7,9)",24.2,42.6,39.7,45.7,stable,-4.8,15-07-2013
212,"Napa County, California(7,9)",23.2,53.3,48.5,58.6,falling,-9.8,16-07-2013
213,"Nevada County, California(7,9)",20.1,47.3,42.5,52.6,stable,-5.3,17-07-2013
214,"Orange County, California(7,9)",26.8,44.1,43,45.2,falling,-6.6,18-07-2013
215,"Placer County, California(7,9)",21.6,49.6,46.7,52.7,stable,-4.1,19-07-2013
216,"Plumas County, California(7,9)",23.4,44.2,34.5,56.4,stable,-0.4,20-07-2013
217,"Riverside County, California(7,9)",22.2,47.2,45.9,48.5,stable,-3.4,21-07-2013
218,"Sacramento County, California(7,9)",18.6,56.9,55.1,58.7,stable,-2.8,22-07-2013
219,"San Benito County, California(7,9)",21.3,40.2,32.2,49.5,stable,-13.3,23-07-2013
220,"San Bernardino County, California(7,9)",25.5,49.5,48,51.1,falling,-6.4,24-07-2013
221,"San Diego County, California(7,9)",25.5,49,47.9,50.1,falling,-3.5,25-07-2013
222,"San Francisco County, California(7,8)",27.5,49,46.9,51,falling,-2.3,26-07-2013
223,"San Joaquin County, California(7,9)",23.4,56.8,54.1,59.6,stable,-5.9,27-07-2013
224,"San Luis Obispo County, California(7,9)",19.8,46.9,43.6,50.3,stable,-3.2,28-07-2013
225,"San Mateo County, California(7,8)",18.8,45.3,43.3,47.5,falling,-1.9,29-07-2013
226,"Santa Barbara County, California(7,9)",18.6,42.1,39.4,44.9,stable,-4,30-07-2013
227,"Santa Clara County, California(7,9)",24.3,41.1,39.7,42.5,stable,-1,31-07-2013
228,"Santa Cruz County, California(7,9)",22.8,37.6,34.2,41.2,stable,-1.3,01-08-2013
229,"Shasta County, California(7,9)",21.9,62.5,58.1,67.2,stable,-4.5,02-08-2013
231,"Siskiyou County, California(7,9)",21.1,60.5,52.5,69.6,stable,-5.7,03-08-2013
232,"Solano County, California(7,9)",20.9,58.1,54.8,61.6,stable,-3.2,04-08-2013
233,"Sonoma County, California(7,9)",28.7,49.5,46.9,52.2,falling,-7,05-08-2013
234,"Stanislaus County, California(7,9)",25,57.4,54.4,60.6,stable,-6.5,06-08-2013
235,"Sutter County, California(7,9)",22.2,56.3,49.9,63.4,stable,-4.3,07-08-2013
236,"Tehama County, California(7,9)",23.7,65.2,57.6,73.7,falling,-11.7,08-08-2013
237,"Trinity County, California(7,9)",19.8,66.6,51.3,85.7,stable,-17.4,09-08-2013
238,"Tulare County, California(7,9)",24.8,47.9,44.8,51.3,falling,-11.2,10-08-2013
239,"Tuolumne County, California(7,9)",26.9,58,51,65.7,stable,-8.5,11-08-2013
240,"Ventura County, California(7,9)",20,41.5,39.5,43.6,falling,-3.6,12-08-2013
241,"Yolo County, California(7,9)",19.9,42.3,38,47,stable,-1.5,13-08-2013
242,"Yuba County, California(7,9)",24.7,68.1,59.2,77.8,stable,-8.1,14-08-2013
243,"Adams County, Colorado(6,10)",26.1,52.6,49.1,56.2,stable,-1.5,15-08-2013
244,"Alamosa County, Colorado(6,10)",24.3,47.9,33.3,66.7,stable,-2.4,16-08-2013
245,"Arapahoe County, Colorado(6,10)",27.5,47.5,44.9,50.3,stable,-6,17-08-2013
246,"Archuleta County, Colorado(6,10)",24.4,31.7,20.8,47.5,falling,-22,18-08-2013
247,"Baca County, Colorado(6,10)",23,78.2,48,123.4,stable,-4.9,19-08-2013
248,"Bent County, Colorado(6,10)",25.8,44,25.8,71.5,stable,21.1,20-08-2013
249,"Boulder County, Colorado(6,10)",20.7,35.5,32.3,39,stable,-2.6,21-08-2013
250,"Broomfield County, Colorado(6,10)",18.7,48.4,39.9,58.1,stable,-6.2,22-08-2013
251,"Chaffee County, Colorado(6,10)",22.3,36.9,27.5,49.3,stable,-7.7,23-08-2013
252,"Douglas County, Colorado(6,10)",25.3,37.1,33.2,41.4,stable,-0.6,24-08-2013
253,"Eagle County, Colorado(6,10)",26.9,28.3,19.1,40,stable,-3.7,25-08-2013
254,"Elbert County, Colorado(6,10)",22.6,47.5,34,64.5,stable,-16.2,26-08-2013
255,"El Paso County, Colorado(6,10)",26.5,50.3,47.7,53.1,falling,-3.2,27-08-2013
256,"Fremont County, Colorado(6,10)",25.8,56.4,48.6,65.3,stable,-1,28-08-2013
257,"Garfield County, Colorado(6,10)",26.8,43.2,34.6,53.1,stable,-6.2,29-08-2013
268,"La Plata County, Colorado(6,10)",30.3,34.4,27.5,42.5,stable,-7.1,30-08-2013
269,"Larimer County, Colorado(6,10)",26.8,39.7,36.6,43.1,stable,3.3,31-08-2013
270,"Las Animas County, Colorado(6,10)",23.9,46.9,34.8,62.4,stable,-16.7,01-09-2013
271,"Lincoln County, Colorado(6,10)",26.9,53.5,31.6,85.8,stable,6.2,02-09-2013
272,"Logan County, Colorado(6,10)",27.3,36.4,27,48.2,stable,9,03-09-2013
273,"Mesa County, Colorado(6,10)",21,56.1,51.3,61.3,stable,-6.7,04-09-2013
275,"Moffat County, Colorado(6,10)",22.6,40,26,58.8,stable,-10.3,05-09-2013
276,"Montezuma County, Colorado(6,10)",26.1,40.2,31.5,50.8,stable,-12.4,06-09-2013
277,"Montrose County, Colorado(6,10)",32,49.6,41.6,58.7,stable,-1.1,07-09-2013
278,"Morgan County, Colorado(6,10)",25.6,49.5,39.1,61.8,stable,-1.7,08-09-2013
279,"Otero County, Colorado(6,10)",29.1,40.5,30.3,53.5,stable,-26,09-09-2013
280,"Weld County, Colorado(6,10)",22.3,45.7,41.7,50,stable,-5.4,10-09-2013
281,"Yuma County, Colorado(6,10)",24.8,62.5,44.9,85.4,stable,-4.2,11-09-2013
282,"Fairfield County, Connecticut(7,8)",26.7,54.9,52.9,57,falling,-1,12-09-2013
283,"Hartford County, Connecticut(7,8)",25.7,62,59.9,64.2,falling,-0.3,13-09-2013
284,"Litchfield County, Connecticut(7,8)",21.1,62.5,58.1,67.1,stable,0,14-09-2013
285,"Middlesex County, Connecticut(7,8)",23.5,65.7,60.9,70.8,stable,-0.4,15-09-2013
286,"New Haven County, Connecticut(7,8)",29.4,70.2,67.8,72.5,falling,-0.4,16-09-2013
287,"New London County, Connecticut(7,8)",28.9,68.7,64.7,72.9,stable,-0.5,17-09-2013
288,"Tolland County, Connecticut(7,8)",22.5,62.7,57.1,68.6,stable,-0.6,18-09-2013
289,"Windham County, Connecticut(7,8)",22.9,65,58.9,71.6,stable,-2.7,19-09-2013
290,"Kent County, Delaware(6,10)",21.6,79.2,73.5,85.2,stable,0.8,20-09-2013
291,"New Castle County, Delaware(6,10)",24,67.3,64.3,70.4,stable,-1.4,21-09-2013
292,"Sussex County, Delaware(6,10)",25.2,74.2,69.9,78.7,stable,-1.8,22-09-2013
293,"District of Columbia(6,10)",19.5,59,56.3,61.9,stable,-1.7,23-09-2013
294,"Alachua County, Florida(6,10)",21.8,67.8,63.1,72.8,stable,-2.9,24-09-2013
295,"Baker County, Florida(6,10)",27,99.5,83.1,118.2,stable,-4.9,25-09-2013
296,"Bay County, Florida(6,10)",20.6,88.4,82.7,94.3,stable,-5,26-09-2013
297,"Bradford County, Florida(6,10)",27.8,82.1,69,97.1,stable,-1.3,27-09-2013
298,"Brevard County, Florida(6,10)",22.3,74.2,71.6,76.8,falling,-3.5,28-09-2013
299,"Broward County, Florida(6,10)",24.2,53.5,52.1,54.9,falling,-6.3,29-09-2013
300,"Calhoun County, Florida(6,10)",27.8,78.2,61.3,98.7,stable,-12.5,30-09-2013
301,"Charlotte County, Florida(6,10)",27.8,62.3,58.4,66.6,falling,-3.1,01-10-2013
302,"Citrus County, Florida(6,10)",23.2,79.7,74.9,84.8,stable,-2.5,02-10-2013
303,"Clay County, Florida(6,10)",23.9,79.2,73.6,85,stable,-1.7,03-10-2013
304,"Collier County, Florida(6,10)",26,43.3,40.9,45.9,falling,-8.5,04-10-2013
305,"Columbia County, Florida(6,10)",24.7,88.2,79.4,97.7,stable,-0.3,05-10-2013
306,"DeSoto County, Florida(6,10)",25.4,57.7,48.4,68.5,stable,-5,06-10-2013
307,"Dixie County, Florida(6,10)",26.5,100,83.2,119.8,stable,5,07-10-2013
308,"Duval County, Florida(6,10)",22.5,78.1,75.4,80.8,stable,-3.1,08-10-2013
309,"Escambia County, Florida(6,10)",22.7,78.4,74.3,82.7,stable,-3.5,09-10-2013
310,"Flagler County, Florida(6,10)",23.78,67.7,62.2,73.7,stable,0,10-10-2013
311,"Franklin County, Florida(6,10)",25.3,93.4,73.2,118.2,stable,-10,11-10-2013
312,"Gadsden County, Florida(6,10)",26.5,66.4,57.1,76.9,stable,1.3,12-10-2013
313,"Gilchrist County, Florida(6,10)",20,74.3,59.1,92.5,stable,-1.5,13-10-2013
314,"Glades County, Florida(6,10)",25.2,54.9,41.8,71.7,stable,1.9,14-10-2013
315,"Gulf County, Florida(6,10)",27.3,92.6,75.2,113.4,stable,-1.2,15-10-2013
316,"Hamilton County, Florida(6,10)",22.1,67.8,51.2,88.3,stable,15.5,16-10-2013
317,"Hardee County, Florida(6,10)",25.5,69,56.1,84,stable,1.3,17-10-2013
318,"Hendry County, Florida(6,10)",21.5,65.2,54.1,77.9,stable,1.7,18-10-2013
319,"Hernando County, Florida(6,10)",25.1,74.9,70.6,79.5,stable,-5.2,19-10-2013
320,"Highlands County, Florida(6,10)",27.6,73.3,67.7,79.3,stable,0.4,20-10-2013
321,"Hillsborough County, Florida(6,10)",22.4,69.7,67.6,71.8,falling,-2.8,21-10-2013
322,"Holmes County, Florida(6,10)",26.3,71.2,57.6,87.3,stable,5.2,22-10-2013
323,"Indian River County, Florida(6,10)",22.6,67,62.4,71.9,stable,-2.6,23-10-2013
324,"Jackson County, Florida(6,10)",18.8,48.4,41,56.8,stable,3.4,24-10-2013
